Id, Title, Depth, CovidRelated
1uyVbPy0Tgo,Exploring the odds of a second coronavirus wave,0,1
cX_vWl68Btc,Will Nationwide Protests Cause Spikes In Coronavirus Cases? | The 11th Hour | MSNBC,0,1
P6h1W9BrwaY,Dr. Anthony Fauci: Coronavirus pandemic has exposed inequities in America&#39;s health-care system,0,1
pEQcvcyzQGE,Whistleblowers silenced by China could have stopped global coronavirus spread | 60 Minutes Australia,1,1
NcSUF8erpfU,What Are the Craziest Coronavirus Conspiracy Theories? | The Daily Social Distancing Show,1,1
IIj-HHAedqo,What will the coronavirus second wave look like? | COVID-19 Special,1,1
-q_OZIhr6Mg,Frank Figliuzzi On Trump: He Relishes The Idea That People Are Appalled | Deadline | MSNBC,1,0
tZBsSDWNjTo,The 11th Hour With Brian Williams Highlights: June 4 | MSNBC,1,0
NqYxycd6UTM,‘Deeply Broken’: Chris Hayes On What Buffalo PD Video Shows About Culture Of Police | All In | MSNBC,1,0
ma9SIElODdg,Dr. Anthony Fauci: Virus cases plateauing coming down,1,1
a_58Q0H7KoI,Funeral Homes in Mexico Show Coronavirus’ Hidden Death Toll | Coronavirus News,1,1
ZhOXk60zTkc,The Science Behind How the Body Clears Coronavirus | WSJ,1,1
Y7nZ4mw4mXw,Journalist goes undercover at "wet markets" where the Coronavirus started | 60 Minutes Australia,2,1
3K3fy5eKeuM,Coronavirus in China | DW Documentary,2,1
ccK2GifNn4A,Backpacker kidnapped and shackled in abandoned pig shed by madman | 60 Minutes Australia,2,0
iyFT8qXcOrM,Bill Gates on Fighting Coronavirus | The Daily Social Distancing Show,2,1
MkzqsSRsE4s,This Week’s Good News | The Daily Social Distancing Show,2,0
clWZTm9atwc,A Look Back at the Police Killing & Trial Verdict of Philando Castile | The Daily Show,2,0
NvqKZHpKs-g,DW News Livestream | Latest news and breaking stories,2,0
KGghR1nmeQU,Fears of a deadly COVID-19 second wave if lockdown is lifted too early | 60 Minutes Australia,2,1
f9v6givfTEA,Covid-19: why the economy could fare worse than you think | The Economist,2,1
_-VMbW_m7Ko,Rebuking Trump Obama And Mattis Speak In Favor Of Protests | The 11th Hour | MSNBC,2,0
gjyNlFcAEv0,The Last Word With Lawrence O’Donnell Highlights: June 4 | MSNBC,2,0
w_fNJ8vT018,Video shows police pushing elderly man to the ground,2,0
-46qngQIgMQ,Fundstrat's Tom Lee breaks down his rebound stocks picks,2,1
j05xm-8_wjc,Dr. Anthony Fauci explained,2,1
fUU3ioeC8fo,Jim Cramer: The blockbuster jobs numbers show the stock market had it right,2,1
CCRiiBsnxkI,How India’s Police Used a Pandemic to Boost Its Image | Coronavirus News,2,1
VDd5GlrgvsE,New Security Video Shows Events Leading Up To George Floyd's Arrest | NBC News NOW,2,0
n6QwnzbRUyA,How coronavirus spreads outdoors vs. indoors,2,1
VUvtuKUP-M0,How Coronavirus Antibody Genetic And Antigen Tests Work,2,1
zdR-I35Ladk,WORLD EXCLUSIVE: Chinese spy spills secrets to expose Communist espionage | 60 Minutes Australia,3,0
syGpm7DM-4g,INSIDE THE DUBAI ROYAL FAMILY: Where are the missing Princesses? | 60 Minutes Australia,3,0
XU9FVqwO4TM,The lockdown: One month in Wuhan,3,1
StjIv33zJ9c,Life in North Korea | DW Documentary,3,0
VSQnOS7t4Gg,The Search For A Covid-19 Vaccine | Race Against Pandemic | Full Episode,3,1
Myalj0M8wms,Australia's real life Wolf Creek horror story | 60 Minutes Australia,3,0
1FmKYkdjy70,Inside the investigation: Why Gerard Baden-Clay murdered his wife Allison | 60 Minutes Australia,3,0
voWuAxYJX9c,How a woman forced into sex slavery escaped her captor | 60 Minutes Australia,3,0
8A3jiM2FNR8,Dr. Fauci Answers Trevor’s Questions About Coronavirus | The Daily Social Distancing Show,3,1
QlaeirHJpns,Donsplaining | The Daily Show,3,0
4cDC4wEY9SQ,Growing Up in South Africa - Between the Scenes | The Daily Show,3,0
_g7SjfKLIRQ,This Week’s Good News | The Daily Social Distancing Show,3,0
IpUmVYvzdlI,Trevor Interviews His Grandmother and Brings Back Stories from Soweto | The Daily Show,3,0
2tx33_WvPgM,“The S#*t Donald Trump Says!” - Trevor Noah - (from "Son Of Patricia" Watch on Netflix!),3,0
TLpbfOJ4bJU,Better brain health | DW Documentary,3,0
ZxCT_D6HBd8,Best before dates: How supermarkets tamper with your food (CBC Marketplace),3,0
